id,kda_ratio
2151_38,3209.087891
21_93,4217.990234
169_93,4971.586426
185_93,3341.434814
448_93,4932.44043
630_93,3266.015869
671_93,3249.840332
680_93,4109.657715
754_93,4156.359863
805_93,4140.831543
836_93,4126.814941
952_93,3353.635986
1085_93,3869.205811
1400_93,3612.507813
1498_93,3672.272217
1569_93,3577.249756
1638_93,4037.905518
1706_93,3820.183838
1796_93,3620.96875
1811_93,3798.639893
1833_93,3547.554688
1901_93,3635.761719
1917_93,3907.635498
1947_93,4911.381836
2098_93,4455.715332
2109_93,4713.848633
2162_93,3679.280273
2230_93,3223.620605
2260_93,4227.560059
2268_93,4188.038086
2432_93,4185.932617
2468_93,3739.661377
2499_93,5149.464355
2600_93,3677.763184
2635_93,4685.384277
2865_93,3534.327393
2870_93,4557.058105
31_80,3493.153809
463_80,2565.445557
1242_80,3792.016357
34_62,2912.060303
127_62,4341.651367
331_62,2285.043457
958_62,3278.503662
1018_62,2777.735596
1200_62,2730.785156
1559_62,2654.841064
1790_62,3203.808838
2135_62,3889.817139
2198_62,4222.372559
2277_62,3354.046875
2550_62,3205.37085
46_14,2337.137695
77_14,2075.158447
399_14,2766.912109
521_14,2407.64502
588_14,3164.799316
633_14,1615.795288
913_14,2715.232666
1067_14,2567.969482
1240_14,2720.22583
1288_14,1838.366089
1290_14,2398.880127
1302_14,2542.568604
1350_14,2690.164307
1415_14,2207.279053
1670_14,2754.150635
1701_14,2090.520752
1771_14,3290.41748
1780_14,2081.497314
1952_14,2619.43457
2013_14,2296.858887
2101_14,2717.546143
2476_14,2287.795166
2517_14,3677.755615
2652_14,3374.14624
2802_14,2694.855713
2917_14,2393.60376
2939_14,2718.222168
51_106,5556.716797
313_106,5344.459961
347_106,3934.46167
426_106,4175.702148
780_106,3881.844971
806_106,4406.882324
925_106,4061.218994
1416_106,4186.887207
1672_106,4202.843262
1709_106,4442.96582
2105_106,4093.040527
2179_106,4703.314941
2257_106,5115.381348
2330_106,3801.952393
2375_106,5855.907715
2393_106,4666.61084
2564_106,5238.456543
2575_106,4795.933105
2609_106,4532.999512
2628_106,4973.547363
2649_106,4444.45459
2773_106,5159.80957
2807_106,4140.273438
2840_106,4284.524414
2880_106,4492.769043
2980_106,4553.61377
64_7,3953.201904
175_7,2703.539307
236_7,2550.393311
366_7,2589.52124
495_7,2784.616943
677_7,3053.131104
771_7,2390.11084
820_7,2472.308594
893_7,2768.49707
1228_7,2871.216064
1409_7,2645.554199
1456_7,2661.58374
1467_7,3563.431152
1743_7,3196.020752
1944_7,3373.53125
2316_7,3084.255127
2427_7,2866.793945
2630_7,3147.986572
2923_7,2847.162842
2935_7,3121.344482
2987_7,2543.755371
66_56,4432.772949
391_56,3565.126221
1795_56,3784.267334
2340_56,4774.38916
2974_56,5929.181152
72_26,1710.034058
101_26,2330.772705
201_26,1999.511475
308_26,2374.497559
718_26,1444.836914
965_26,1823.207642
1241_26,2235.602295
1574_26,2059.356201
74_86,2168.581055
83_86,2625.374268
102_86,2550.239258
117_86,2560.413818
142_86,2865.605225
271_86,2722.265869
350_86,2601.935547
353_86,2814.31543
425_86,2610.441162
431_86,2503.951416
438_86,3081.864502
447_86,2514.420898
453_86,2790.253662
507_86,1979.133301
621_86,3000.920654
709_86,2279.514893
737_86,3107.831299
844_86,2728.745605
985_86,2593.907959
1172_86,2436.123535
1583_86,1995.524048
1584_86,2234.651123
1881_86,2415.14502
2226_86,2267.362793
2261_86,3157.107422
2273_86,2506.514404
2301_86,2236.887451
2576_86,2877.661621
85_13,3541.324219
121_13,4702.641113
132_13,4127.791504
188_13,5158.866699
779_13,3461.219971
815_13,3732.039307
872_13,3718.434326
1441_13,3365.087891
1686_13,4762.915527
1720_13,3927.534912
1966_13,3690.924316
2110_13,3804.543701
2478_13,4155.750488
2492_13,4251.679688
2503_13,4371.785645
2719_13,4116.518066
2745_13,5542.904297
2776_13,4152.441406
2882_13,4208.712402
89_114,2762.499268
360_114,3023.307861
454_114,3116.012939
1120_114,2537.970459
1594_114,3749.721924
1776_114,4283.535156
1910_114,3180.865479
1983_114,5585.36377
2106_114,2630.086182
100_107,4243.84082
374_107,3071.292969
397_107,3696.380127
561_107,4168.740234
841_107,2817.136475
1331_107,2938.161377
1696_107,2920.69458
2474_107,3117.918945
2961_107,3361.529053
103_97,3772.305908
120_97,2990.953857
173_97,3688.141846
269_97,2708.65918
322_97,3515.144775
889_97,2992.367676
946_97,3047.63208
1298_97,3173.135986
1473_97,3386.721924
1818_97,3172.91626
1863_97,3751.66626
1925_97,4737.911133
1981_97,4277.290527
105_109,3761.55835
311_109,3637.611084
471_109,4192.194336
2506_109,4465.723145
2970_109,3346.198242
107_104,3184.72998
708_104,1851.961548
1143_104,2492.502686
1187_104,2332.197998
1345_104,2933.409668
1596_104,1974.96936
1788_104,2822.931152
2221_104,3252.249268
2369_104,3101.783936
2536_104,3559.580811
110_55,4598.875488
782_55,3780.705811
1443_55,3370.69751
111_46,3570.961182
124_46,3507.248535
379_46,2908.034424
398_46,3496.672852
430_46,3541.352539
464_46,3859.854248
1131_46,5810.553223
1825_46,3750.156982
1831_46,5781.408691
1887_46,3884.738525
2008_46,4566.519531
2009_46,4348.043457
2682_46,4430.916504
2887_46,4195.725586
2975_46,3448.853271
2983_46,4497.160645
112_70,3585.494385
781_70,4075.462646
895_70,4905.419922
1066_70,3392.55957
1457_70,3176.934814
1558_70,4064.530518
1855_70,3728.977539
1975_70,4025.778564
2537_70,3623.711182
2711_70,4398.251953
115_99,3698.828857
1631_99,2682.17749
2788_99,3094.865479
119_34,4377.813477
255_34,3506.823975
363_34,3413.97876
411_34,3936.867432
542_34,4677.612793
634_34,3630.264404
676_34,3293.455322
1050_34,3055.889648
1076_34,4774.039551
1304_34,4753.973145
1352_34,2871.368408
1385_34,4125.302734
1494_34,3738.154297
1505_34,3069.56665
1563_34,3103.037842
1690_34,3850.796143
1802_34,3964.565186
1847_34,4326.791504
1872_34,4836.045898
2049_34,5170.705566
2102_34,3909.53125
2155_34,4242.222656
2311_34,4860.327637
2515_34,3831.860107
2595_34,3630.260498
2707_34,3546.084717
2811_34,4236.927734
2855_34,4639.655273
2933_34,4039.824463
123_59,3433.933838
436_59,1998.816528
560_59,3283.831299
616_59,2008.336548
2443_59,3002.272461
2647_59,2576.14624
125_1,4347.566895
294_1,3487.831299
445_1,4010.880127
549_1,3067.632568
1347_1,2834.347412
1431_1,2900.927979
1486_1,4169.338379
1526_1,3883.664063
1546_1,3134.418701
1553_1,3117.157715
1577_1,4072.441895
1835_1,3827.556152
2108_1,4386.872559
2154_1,3558.464844
2272_1,3679.056396
2302_1,3573.322021
2461_1,4597.902832
2554_1,4664.376465
2708_1,3577.529785
134_23,3624.272217
293_23,3968.806152
523_23,3480.798096
1271_23,3152.350342
1570_23,3578.84082
2626_23,5063.343262
2676_23,3626.231445
2748_23,4390.316895
135_69,3704.012451
141_69,3511.946045
182_69,3212.506104
539_69,2897.864502
891_69,2158.856201
922_69,2793.72583
966_69,3058.041504
1030_69,4237.0625
1340_69,4125.903809
2037_69,2725.186523
2569_69,3958.322998
2741_69,3399.748535
2851_69,3497.834229
140_95,3571.000244
485_95,3679.772705
579_95,2943.398682
1031_95,3835.016357
1117_95,3447.30835
1575_95,2927.313721
2204_95,4850.45166
2560_95,3821.6521
2849_95,3524.449951
156_73,3649.977783
417_73,3529.963379
812_73,3493.23999
1496_73,2871.8479
1646_73,3615.142822
2014_73,3266.843018
2804_73,4195.966309
165_11,2908.071045
369_11,2768.992432
497_11,4156.67041
555_11,2987.933838
639_11,5077.878418
726_11,2743.362793
757_11,3081.983887
834_11,3347.17041
1059_11,3465.924805
1433_11,2918.672607
1607_11,2746.460449
1619_11,3254.14917
1658_11,2819.006592
1667_11,3633.762939
1789_11,3000.624268
1828_11,3346.108643
1880_11,3054.269531
1969_11,2909.198486
2017_11,3239.518799
2114_11,3129.993896
2121_11,2982.672607
2374_11,4806.529297
2399_11,3837.598877
2409_11,3440.306885
2435_11,3971.240479
2480_11,3160.980713
2504_11,3019.999756
2566_11,3753.149902
2607_11,3080.397949
2683_11,4682.261719
2686_11,3709.070068
2695_11,3267.546143
2702_11,3593.229736
2774_11,4367.089355
2777_11,3577.955322
2829_11,3371.675049
2876_11,3654.897705
2922_11,2707.576904
2931_11,3820.310791
2934_11,4018.769775
2963_11,3115.477783
2979_11,3783.073975
2988_11,2810.361816
170_3,2494.893799
171_4,3959.7854
1485_4,3200.1875
2734_4,5044.779785
2874_4,3702.540527
177_43,3341.818115
192_8,3644.243896
401_8,3166.738525
493_8,3675.340576
566_8,3342.316895
689_8,3808.088623
916_8,3423.891357
996_8,3943.382568
1465_8,3303.10376
1611_8,3025.422363
1651_8,3928.969971
1693_8,4721.746582
1926_8,5084.900879
1935_8,3761.416992
2015_8,3890.940918
2170_8,3884.892334
2278_8,4718.675293
2285_8,4406.279785
2286_8,3848.779053
2312_8,5781.605469
2331_8,3883.26001
2348_8,4417.021973
2378_8,4435.03125
2386_8,3715.145508
2392_8,4270.379395
2426_8,4442.17627
2656_8,3401.591309
2819_8,3258.12915
2911_8,4989.013184
193_39,4526.400879
461_39,6049.13623
654_39,4565.652832
728_39,4066.840576
766_39,7980.418945
962_39,4517.518066
1141_39,3969.773438
1648_39,3763.619873
1848_39,3538.750244
1895_39,5319.652832
2005_39,4212.910645
2056_39,4742.674316
2190_39,4108.713379
2324_39,5740.624023
2505_39,4852.607422
2568_39,4620.815918
2610_39,4556.699707
2617_39,4151.179688
2620_39,4746
2634_39,4963.526855
2673_39,4663.096191
2843_39,5209.341797
2846_39,3799.672607
2881_39,4102.031738
2893_39,4778.056152
2950_39,4618.92334
210_81,3422.448975
1440_81,3783.054443
215_25,2179.077881
330_25,3196.87915
423_25,3722.543213
449_25,2826.998779
687_25,2075.479736
1234_25,3424.354736
1427_25,2711.157959
1482_25,2731.258057
2214_25,3153.443115
2445_25,2020.393188
2674_25,3777.637939
2751_25,2562.819336
224_113,3193.648193
2878_113,4196.888672
227_12,2992.470703
744_12,3724.229248
1742_12,5043.325684
1875_12,5435.289551
2058_12,5017.745605
2405_12,4688.567871
230_77,4799.539551
1095_77,5112.309082
234_10,5709.046387
472_10,3684.682129
525_10,4920.456543
899_10,4688.441895
917_10,4357.890625
955_10,4410.539551
1335_10,4848.017578
1680_10,5529.368652
1897_10,4414.703613
2048_10,4234.515137
2141_10,5513.59375
2256_10,5108.01123
2291_10,4812.780762
2587_10,4283.130371
2690_10,5108.327637
2700_10,4624.390137
2850_10,4254.130371
244_19,2416.320068
475_19,2753.740967
2606_19,3095.139893
2951_19,3696.753418
251_47,4178.057617
1119_47,3583.273682
1280_47,2847.752197
1916_47,3834.693604
2814_47,3692.574463
265_9,3896.979736
286_9,4800.877441
489_9,3474.253174
553_9,3251.255615
762_9,3884.085205
837_9,3554.698486
1115_9,4588.07959
1175_9,3604.212646
1206_9,3297.008545
1383_9,3016.318604
1461_9,3094.902588
1676_9,4286.42627
1782_9,3230.024658
1934_9,3567.025391
1986_9,3534.120361
2072_9,4106.825684
2227_9,4434.111328
2326_9,3345.355713
2538_9,4006.141602
2640_9,3747.441162
2794_9,3779.98291
2862_9,4526.775879
2879_9,3753.060303
2909_9,3667.686768
2932_9,4443.675293
2955_9,4130.719727
268_41,4044.044189
284_41,5499.347168
486_41,4112.568848
670_41,3955.829346
1126_41,3750.549561
1245_41,2956.616455
1293_41,3862.369873
1306_41,3355.301758
1999_41,3221.950439
2003_41,4194.542969
2158_41,3407.00708
2886_41,5456.835938
2921_41,3581.675293
275_27,3253.329346
392_27,1895.040405
1951_27,1833.845093
283_63,4445.626953
811_63,3413.897949
1423_63,4943.641113
1938_63,4651.192871
2605_63,4190.662109
316_88,2729.707764
586_88,3323.329834
749_88,2461.365967
908_88,2428.238037
1086_88,2162.088623
1147_88,2451.036621
1216_88,2221.949463
1276_88,2471.630859
1495_88,2113.678711
1956_88,2172.516846
1960_88,2679.1521
2061_88,4215.524902
2195_88,2875.635986
2275_88,3217.39917
2966_88,3174.651123
319_42,5794.87793
1163_42,3719.283691
1414_42,4160.835938
1549_42,3710.811279
321_67,6040.310547
1184_67,4366.465332
2258_67,4769.400879
2872_67,5464.021973
334_35,3726.360352
496_35,3496.193115
918_35,3655.696533
1369_35,3803.235596
2721_35,5028.927246
339_28,2048.090576
657_28,3060.412354
1217_28,2418.579834
1598_28,2573.441406
342_78,4419.082031
355_36,3917.717041
755_36,3327.341309
772_36,2935.645752
849_36,2810.987061
2577_36,3735.814453
356_98,2564.484619
528_98,3553.755127
595_98,4201.334473
1649_98,2515.133789
1841_98,3584.088623
1937_98,3346.539307
2965_98,2896.337646
357_57,2055.190918
932_57,2062.835205
934_57,2641.067139
1162_57,1852.952026
2069_57,2427.094971
393_100,3770.155518
2313_100,2953.625244
2413_100,2844.648926
412_2,2481.459717
1211_2,3101.518066
1338_2,2996.438232
1980_2,2483.13208
1987_2,2277.279053
2083_2,3204.695557
2447_2,2566.143799
2593_2,2570.955322
2645_2,2916.682129
2985_2,3363.507568
422_120,3174.190674
761_120,3428.249268
1455_120,2878.994385
435_60,2975.358643
1312_60,3576.991943
2004_60,4206.181641
440_75,2274.779297
480_75,2303.177002
892_75,3254.564697
1034_75,3112.254395
2166_75,2682.648193
465_76,4574.796387
527_76,3865.248291
854_76,3578.564453
1037_76,3408.358643
1092_76,4360.90332
1534_76,3260.477783
1644_76,3030.887451
1770_76,3784.743408
1988_76,3798.620361
2140_76,4848.804688
2165_76,3130.41626
2404_76,4526.656738
2532_76,3144.703369
2621_76,3345.085205
2663_76,3462.490479
2706_76,3319.101807
2760_76,3887.315186
2786_76,3525.169678
494_87,2786.633545
961_87,1866.209106
1408_87,2470.640625
1503_87,1682.651733
501_65,3780.136963
626_65,3021.270752
1540_65,3377.489502
1669_65,3052.212646
1824_65,3759.022705
2677_65,4120.51709
2739_65,3183.297852
2831_65,3203.273438
502_71,2463.823975
878_71,2907.061523
1040_71,3559.319824
1072_71,2365.215332
1197_71,2953.572998
1475_71,2552.188232
1719_71,2503.250244
2064_71,3107.787354
508_6,2937.827148
716_6,2685.880615
875_6,2521.572021
511_82,2263.986816
533_82,2206.132324
645_82,2579.55957
850_82,3318.7854
1212_82,2706.469727
2118_82,3366.336182
2229_82,2573.18042
532_18,4237.695801
931_18,3940.561768
1127_18,3811.465088
1519_18,2664.419922
1521_18,3789.571289
1650_18,3627.870117
536_92,3301.743408
1300_92,3623.037598
2100_92,3638.787842
2888_92,4134.544922
593_111,2439.439697
678_111,3206.863037
613_30,2570.93335
1398_30,1798.783691
1568_30,2035.644165
1609_30,2363.575684
1744_30,1804.685913
638_61,3687.456299
1094_61,3280.190674
2235_61,2989.955322
647_79,2013.5896
1430_79,3928.996338
2798_79,2403.40625
669_44,4003.990479
839_44,4956.808594
1453_44,4512.222168
1476_44,3950.436768
1959_44,3821.251221
691_33,3235.876221
696_33,3298.46875
1428_33,2903.189209
1675_33,3027.47583
1854_33,3429.749756
2070_33,3428.891846
2336_33,3533.459229
693_21,3492.810547
1113_21,2053.854492
1399_21,3494.159424
1454_21,2559.283447
1874_21,3365.597168
1896_21,3611.792969
2153_21,2888.380615
2169_21,3170.691406
2464_21,2718.191162
2754_21,4064.264648
2936_21,3329.027832
711_40,2846.83252
1932_40,3438.990967
729_102,3898.065186
1633_102,3289.801025
802_31,2678.845947
1077_31,2593.410889
1168_31,2886.485596
1912_31,4110.131836
830_29,3895.014404
1463_29,3141.37085
864_5,1860.390259
1080_5,1181.18689
1637_5,2415.656738
926_101,4853.583496
1112_101,3733.169189
1017_37,3843.185791
1082_16,2702.681885
1447_16,3485.766357
2483_16,3188.845947
2543_16,3862.225098
2868_16,3413.147705
2981_16,3868.087402
1106_110,3372.688477
1605_110,2341.893311
1124_22,4225.367676
2848_22,4432.569824
1133_90,2232.104004
1157_90,1747.624146
1530_90,2830.897705
1155_64,2116.856689
1361_64,3743.269043
2421_64,2967.041748
1160_45,2340.699951
1524_45,3105.00708
1178_32,3854.241211
1284_32,3777.247314
1287_32,3104.7146
1488_32,2574.38208
1624_32,2975.445557
1185_48,3715.139404
1906_48,3947.230713
1948_48,3833.511475
1982_48,4118.230469
2900_48,4226.006836
1365_72,2917.880371
1436_20,1991.755981
1483_83,2200.353516
1604_105,1946.206055
1635_52,3617.672119
2073_52,2977.950439
2264_52,3448.925781
1708_15,4586.536621
2408_15,2871.055176
1769_112,2860.836914
2552_112,2582.657471
2662_112,2729.970459
2192_91,2490.945801
2903_91,2687.926514
2201_58,3589.318604
2353_58,3349.272217
2507_50,2348.749512
